Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature,strength
3.8,1.2,0.4,0.1,0.2,0.1,0.1,510,396.5
3.8,1.2,0.4,0.1,0.2,0.1,0.2,510,396.27
3.8,1.2,0.4,0.1,0.2,0.1,0.3,510,396.04
3.8,1.2,0.4,0.1,0.2,0.2,0.1,510,396.91
3.8,1.2,0.4,0.1,0.2,0.2,0.2,510,396.68
3.8,1.2,0.4,0.1,0.2,0.2,0.3,510,396.45
3.8,1.2,0.4,0.1,0.2,0.3,0.1,510,397.34
3.8,1.2,0.4,0.1,0.2,0.3,0.2,510,397.11
3.8,1.2,0.4,0.1,0.2,0.3,0.3,510,396.88
3.8,1.2,0.4,0.1,0.4,0.1,0.1,510,393.63
3.8,1.2,0.4,0.1,0.4,0.1,0.2,510,393.37
3.8,1.2,0.4,0.1,0.4,0.1,0.3,510,393.09
3.8,1.2,0.4,0.1,0.4,0.2,0.1,510,394.05
3.8,1.2,0.4,0.1,0.4,0.2,0.2,510,393.79
3.8,1.2,0.4,0.1,0.4,0.2,0.3,510,393.51
3.8,1.2,0.4,0.1,0.4,0.3,0.1,510,394.47
3.8,1.2,0.4,0.1,0.4,0.3,0.2,510,394.19
3.8,1.2,0.4,0.1,0.4,0.3,0.3,510,393.93
3.8,1.2,0.4,0.1,0.6,0.1,0.1,510,390.16
3.8,1.2,0.4,0.1,0.6,0.1,0.2,510,389.89
3.8,1.2,0.4,0.1,0.6,0.1,0.3,510,389.66
3.8,1.2,0.4,0.1,0.6,0.2,0.1,510,390.57
3.8,1.2,0.4,0.1,0.6,0.2,0.2,510,390.3
3.8,1.2,0.4,0.1,0.6,0.2,0.3,510,390.09
3.8,1.2,0.4,0.1,0.6,0.3,0.1,510,390.98
3.8,1.2,0.4,0.1,0.6,0.3,0.2,510,390.71
3.8,1.2,0.4,0.1,0.6,0.3,0.3,510,390.49
3.8,1.2,0.4,0.2,0.2,0.1,0.1,510,393.97
3.8,1.2,0.4,0.2,0.2,0.1,0.2,510,393.75
3.8,1.2,0.4,0.2,0.2,0.1,0.3,510,393.52
3.8,1.2,0.4,0.2,0.2,0.2,0.1,510,394.41
3.8,1.2,0.4,0.2,0.2,0.2,0.2,510,394.18
3.8,1.2,0.4,0.2,0.2,0.2,0.3,510,393.95
3.8,1.2,0.4,0.2,0.2,0.3,0.1,510,394.84
3.8,1.2,0.4,0.2,0.2,0.3,0.2,510,394.61
3.8,1.2,0.4,0.2,0.2,0.3,0.3,510,394.37
3.8,1.2,0.4,0.2,0.4,0.1,0.1,510,392.31
3.8,1.2,0.4,0.2,0.4,0.1,0.2,510,392.05
3.8,1.2,0.4,0.2,0.4,0.1,0.3,510,391.77
3.8,1.2,0.4,0.2,0.4,0.2,0.1,510,392.73
3.8,1.2,0.4,0.2,0.4,0.2,0.2,510,392.45
3.8,1.2,0.4,0.2,0.4,0.2,0.3,510,392.19
3.8,1.2,0.4,0.2,0.4,0.3,0.1,510,393.13
3.8,1.2,0.4,0.2,0.4,0.3,0.2,510,392.88
3.8,1.2,0.4,0.2,0.4,0.3,0.3,510,392.62
3.8,1.2,0.4,0.2,0.6,0.1,0.1,510,388.78
3.8,1.2,0.4,0.2,0.6,0.1,0.2,510,388.5
3.8,1.2,0.4,0.2,0.6,0.1,0.3,510,388.23
3.8,1.2,0.4,0.2,0.6,0.2,0.1,510,389.18
3.8,1.2,0.4,0.2,0.6,0.2,0.2,510,388.92
3.8,1.2,0.4,0.2,0.6,0.2,0.3,510,388.65
3.8,1.2,0.4,0.2,0.6,0.3,0.1,510,389.6
3.8,1.2,0.4,0.2,0.6,0.3,0.2,510,389.34
3.8,1.2,0.4,0.2,0.6,0.3,0.3,510,389.06
3.8,1.2,0.4,0.3,0.2,0.1,0.1,510,388.27
3.8,1.2,0.4,0.3,0.2,0.1,0.2,510,388.04
3.8,1.2,0.4,0.3,0.2,0.1,0.3,510,387.81
3.8,1.2,0.4,0.3,0.2,0.2,0.1,510,388.73
3.8,1.2,0.4,0.3,0.2,0.2,0.2,510,388.5
3.8,1.2,0.4,0.3,0.2,0.2,0.3,510,388.3
3.8,1.2,0.4,0.3,0.2,0.3,0.1,510,389.18
3.8,1.2,0.4,0.3,0.2,0.3,0.2,510,388.99
3.8,1.2,0.4,0.3,0.2,0.3,0.3,510,388.76
3.8,1.2,0.4,0.3,0.4,0.1,0.1,510,391.21
3.8,1.2,0.4,0.3,0.4,0.1,0.2,510,390.93
3.8,1.2,0.4,0.3,0.4,0.1,0.3,510,390.67
3.8,1.2,0.4,0.3,0.4,0.2,0.1,510,391.61
3.8,1.2,0.4,0.3,0.4,0.2,0.2,510,391.36
3.8,1.2,0.4,0.3,0.4,0.2,0.3,510,391.1
3.8,1.2,0.4,0.3,0.4,0.3,0.1,510,392.04
3.8,1.2,0.4,0.3,0.4,0.3,0.2,510,391.78
3.8,1.2,0.4,0.3,0.4,0.3,0.3,510,391.52
3.8,1.2,0.4,0.3,0.6,0.1,0.1,510,387.52
3.8,1.2,0.4,0.3,0.6,0.1,0.2,510,387.26
3.8,1.2,0.4,0.3,0.6,0.1,0.3,510,386.99
3.8,1.2,0.4,0.3,0.6,0.2,0.1,510,387.95
3.8,1.2,0.4,0.3,0.6,0.2,0.2,510,387.68
3.8,1.2,0.4,0.3,0.6,0.2,0.3,510,387.4
3.8,1.2,0.4,0.3,0.6,0.3,0.1,510,388.37
3.8,1.2,0.4,0.3,0.6,0.3,0.2,510,388.09
3.8,1.2,0.4,0.3,0.6,0.3,0.3,510,387.83
3.8,1.2,0.6,0.1,0.2,0.1,0.1,510,391.18
3.8,1.2,0.6,0.1,0.2,0.1,0.2,510,390.88
3.8,1.2,0.6,0.1,0.2,0.1,0.3,510,390.65
3.8,1.2,0.6,0.1,0.2,0.2,0.1,510,391.58
3.8,1.2,0.6,0.1,0.2,0.2,0.2,510,391.35
3.8,1.2,0.6,0.1,0.2,0.2,0.3,510,391.15
3.8,1.2,0.6,0.1,0.2,0.3,0.1,510,392.04
3.8,1.2,0.6,0.1,0.2,0.3,0.2,510,391.85
3.8,1.2,0.6,0.1,0.2,0.3,0.3,510,391.61
3.8,1.2,0.6,0.1,0.4,0.1,0.1,510,393.52
3.8,1.2,0.6,0.1,0.4,0.1,0.2,510,393.24
3.8,1.2,0.6,0.1,0.4,0.1,0.3,510,392.98
3.8,1.2,0.6,0.1,0.4,0.2,0.1,510,393.92
3.8,1.2,0.6,0.1,0.4,0.2,0.2,510,393.67
3.8,1.2,0.6,0.1,0.4,0.2,0.3,510,393.41
3.8,1.2,0.6,0.1,0.4,0.3,0.1,510,394.35
3.8,1.2,0.6,0.1,0.4,0.3,0.2,510,394.09
3.8,1.2,0.6,0.1,0.4,0.3,0.3,510,393.84
3.8,1.2,0.6,0.1,0.6,0.1,0.1,510,389.33
3.8,1.2,0.6,0.1,0.6,0.1,0.2,510,389.05
3.8,1.2,0.6,0.1,0.6,0.1,0.3,510,388.79
3.8,1.2,0.6,0.1,0.6,0.2,0.1,510,389.74
3.8,1.2,0.6,0.1,0.6,0.2,0.2,510,389.48
3.8,1.2,0.6,0.1,0.6,0.2,0.3,510,389.2
3.8,1.2,0.6,0.1,0.6,0.3,0.1,510,390.17
3.8,1.2,0.6,0.1,0.6,0.3,0.2,510,389.89
3.8,1.2,0.6,0.1,0.6,0.3,0.3,510,389.62
3.8,1.2,0.6,0.2,0.2,0.1,0.1,510,391.09
3.8,1.2,0.6,0.2,0.2,0.1,0.2,510,390.85
3.8,1.2,0.6,0.2,0.2,0.1,0.3,510,390.66
3.8,1.2,0.6,0.2,0.2,0.2,0.1,510,391.55
3.8,1.2,0.6,0.2,0.2,0.2,0.2,510,391.36
3.8,1.2,0.6,0.2,0.2,0.2,0.3,510,391.12
3.8,1.2,0.6,0.2,0.2,0.3,0.1,510,392.03
3.8,1.2,0.6,0.2,0.2,0.3,0.2,510,391.8
3.8,1.2,0.6,0.2,0.2,0.3,0.3,510,391.56
3.8,1.2,0.6,0.2,0.4,0.1,0.1,510,392.71
3.8,1.2,0.6,0.2,0.4,0.1,0.2,510,392.45
3.8,1.2,0.6,0.2,0.4,0.1,0.3,510,392.2
3.8,1.2,0.6,0.2,0.4,0.2,0.1,510,393.14
3.8,1.2,0.6,0.2,0.4,0.2,0.2,510,392.88
3.8,1.2,0.6,0.2,0.4,0.2,0.3,510,392.63
3.8,1.2,0.6,0.2,0.4,0.3,0.1,510,393.56
3.8,1.2,0.6,0.2,0.4,0.3,0.2,510,393.3
3.8,1.2,0.6,0.2,0.4,0.3,0.3,510,393.02
3.8,1.2,0.6,0.2,0.6,0.1,0.1,510,388.44
3.8,1.2,0.6,0.2,0.6,0.1,0.2,510,388.18
3.8,1.2,0.6,0.2,0.6,0.1,0.3,510,387.9
3.8,1.2,0.6,0.2,0.6,0.2,0.1,510,388.87
3.8,1.2,0.6,0.2,0.6,0.2,0.2,510,388.59
3.8,1.2,0.6,0.2,0.6,0.2,0.3,510,388.32
3.8,1.2,0.6,0.2,0.6,0.3,0.1,510,389.28
3.8,1.2,0.6,0.2,0.6,0.3,0.2,510,389.01
3.8,1.2,0.6,0.2,0.6,0.3,0.3,510,388.75
3.8,1.2,0.6,0.3,0.2,0.1,0.1,510,387.44
