Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature,strength
3.8,1.2,0.4,0.1,0.2,0.1,0.1,400,307.13
3.8,1.2,0.4,0.1,0.2,0.1,0.1,410,315.75
3.8,1.2,0.4,0.1,0.2,0.1,0.1,420,324.56
3.8,1.2,0.4,0.1,0.2,0.1,0.1,430,334.15
3.8,1.2,0.4,0.1,0.2,0.1,0.1,440,345.25
3.8,1.2,0.4,0.1,0.2,0.1,0.1,450,357.17
3.8,1.2,0.4,0.1,0.2,0.1,0.1,460,370.06
3.8,1.2,0.4,0.1,0.2,0.1,0.1,470,382.57
3.8,1.2,0.4,0.1,0.2,0.1,0.1,475,388.98
3.8,1.2,0.4,0.1,0.2,0.1,0.1,480,391.36
3.8,1.2,0.4,0.1,0.2,0.1,0.1,485,393.14
3.8,1.2,0.4,0.1,0.2,0.1,0.1,490,394.21
3.8,1.2,0.4,0.1,0.2,0.1,0.1,495,394.75
3.8,1.2,0.4,0.1,0.2,0.1,0.1,500,395.33
3.8,1.2,0.4,0.1,0.2,0.1,0.1,505,395.94
3.8,1.2,0.4,0.1,0.2,0.1,0.1,510,396.5
3.8,1.2,0.4,0.1,0.2,0.1,0.2,400,306.75
3.8,1.2,0.4,0.1,0.2,0.1,0.2,410,315.35
3.8,1.2,0.4,0.1,0.2,0.1,0.2,420,324.15
3.8,1.2,0.4,0.1,0.2,0.1,0.2,430,333.72
3.8,1.2,0.4,0.1,0.2,0.1,0.2,440,344.8
3.8,1.2,0.4,0.1,0.2,0.1,0.2,450,356.71
3.8,1.2,0.4,0.1,0.2,0.1,0.2,460,369.59
3.8,1.2,0.4,0.1,0.2,0.1,0.2,470,382.15
3.8,1.2,0.4,0.1,0.2,0.1,0.2,475,388.55
3.8,1.2,0.4,0.1,0.2,0.1,0.2,480,391.04
3.8,1.2,0.4,0.1,0.2,0.1,0.2,485,392.81
3.8,1.2,0.4,0.1,0.2,0.1,0.2,490,393.92
3.8,1.2,0.4,0.1,0.2,0.1,0.2,495,394.46
3.8,1.2,0.4,0.1,0.2,0.1,0.2,500,395.04
3.8,1.2,0.4,0.1,0.2,0.1,0.2,505,395.65
3.8,1.2,0.4,0.1,0.2,0.1,0.2,510,396.27
3.8,1.2,0.4,0.1,0.2,0.1,0.3,400,306.38
3.8,1.2,0.4,0.1,0.2,0.1,0.3,410,314.97
3.8,1.2,0.4,0.1,0.2,0.1,0.3,420,323.75
3.8,1.2,0.4,0.1,0.2,0.1,0.3,430,333.31
3.8,1.2,0.4,0.1,0.2,0.1,0.3,440,344.38
3.8,1.2,0.4,0.1,0.2,0.1,0.3,450,356.27
3.8,1.2,0.4,0.1,0.2,0.1,0.3,460,369.13
3.8,1.2,0.4,0.1,0.2,0.1,0.3,470,381.75
3.8,1.2,0.4,0.1,0.2,0.1,0.3,475,388.14
3.8,1.2,0.4,0.1,0.2,0.1,0.3,480,390.77
3.8,1.2,0.4,0.1,0.2,0.1,0.3,485,392.53
3.8,1.2,0.4,0.1,0.2,0.1,0.3,490,393.69
3.8,1.2,0.4,0.1,0.2,0.1,0.3,495,394.23
3.8,1.2,0.4,0.1,0.2,0.1,0.3,500,394.8
3.8,1.2,0.4,0.1,0.2,0.1,0.3,505,395.41
3.8,1.2,0.4,0.1,0.2,0.1,0.3,510,396.04
3.8,1.2,0.4,0.1,0.2,0.2,0.1,400,307.65
3.8,1.2,0.4,0.1,0.2,0.2,0.1,410,316.27
3.8,1.2,0.4,0.1,0.2,0.2,0.1,420,325.07
3.8,1.2,0.4,0.1,0.2,0.2,0.1,430,334.76
3.8,1.2,0.4,0.1,0.2,0.2,0.1,440,345.9
3.8,1.2,0.4,0.1,0.2,0.2,0.1,450,357.85
3.8,1.2,0.4,0.1,0.2,0.2,0.1,460,370.79
3.8,1.2,0.4,0.1,0.2,0.2,0.1,470,383.3
3.8,1.2,0.4,0.1,0.2,0.2,0.1,475,389.74
3.8,1.2,0.4,0.1,0.2,0.2,0.1,480,391.82
3.8,1.2,0.4,0.1,0.2,0.2,0.1,485,393.6
3.8,1.2,0.4,0.1,0.2,0.2,0.1,490,394.65
3.8,1.2,0.4,0.1,0.2,0.2,0.1,495,395.19
3.8,1.2,0.4,0.1,0.2,0.2,0.1,500,395.77
3.8,1.2,0.4,0.1,0.2,0.2,0.1,505,396.38
3.8,1.2,0.4,0.1,0.2,0.2,0.1,510,396.91
3.8,1.2,0.4,0.1,0.2,0.2,0.2,400,307.26
3.8,1.2,0.4,0.1,0.2,0.2,0.2,410,315.87
3.8,1.2,0.4,0.1,0.2,0.2,0.2,420,324.66
3.8,1.2,0.4,0.1,0.2,0.2,0.2,430,334.34
3.8,1.2,0.4,0.1,0.2,0.2,0.2,440,345.45
3.8,1.2,0.4,0.1,0.2,0.2,0.2,450,357.39
